,kepid,teff,mass,radius,kepmag,dist,nkoi,ra,dec,st_quarters,jmag,hmag,kmag,rrmscdpp06p0,Crowdingseason0,isMdwarf,isGiant,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,ars,ecc,omega,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,has_transits
83,10079113,5564.42163782,0.997,0.8557991507520001,15.630999999999998,1151.781,0,293.42663999999996,47.06797,1111111111111111,14.372,14.024000000000001,14.020999999999999,152.183,0.9279999999999999,False,False,0.0009620763660069809,479.9506441958909,1,1.3595080694208004,55.73274430474203,247,27.624376893627613,71.7028478340288,0.02324506581356927,0.5631733467496249,0.014543478296993788,0.06980242045432287,0.25042581215944953,2.451574900309348,211.5127609751293,196.28384218492,True
165,10030608,5664.66804216,0.919,0.786406049771,14.905,679.791,0,298.44781,46.951729,11111101110111011,13.552999999999999,13.114,13.065,123.665,0.9570000000000001,False,False,0.00446820939919601,308.3516892550089,2,2.2273491836299586,183.7538820818981,486,13.886048333919122,168.22308418642675,0.13282044200704304,1.056705135576637,0.025929838385742584,0.8253263681511448,0.2118892038235913,2.2550700414324587,672.3565187107296,643.4451884061682,True
191,10080411,5998.03980339,0.972,1.32857403606,14.25,1031.663,0,293.93225,47.02512,11111111111111111,13.085,12.745999999999999,12.703,75.553,0.9620000000000001,False,False,0.008687595666934,214.0645828564382,1,2.4110536842349153,142.69615454712778,560,97.73431433504285,85.7131438829565,0.010804873794650591,0.21185804948251263,0.01661420130159295,0.7462460390966037,0.36586660788967656,2.963241230367895,276.0316848898529,265.5424808640385,True
196,10094523,5582.17597342,1.338,1.2918267526,12.88,478.18199999999996,0,298.45026,47.066509,11111101110111011,11.607999999999999,11.26,11.175999999999998,40.815,0.985,False,False,0.009441840420863934,110.23438689447214,1,0.7515023743305319,84.36875958341119,568,64.25212181668218,69.07779360040685,0.06988827159579053,-2.182913503977833,0.005325794827478958,0.6117294661812661,0.3101775056683357,2.7284171484653985,28.364090544401623,27.938629186235598,True
310,10018200,5880.72797874,1.074,0.942057496653,14.602,875.4169999999999,0,294.46725,46.929001,11111111111111111,13.515999999999998,13.169,13.134,83.45100000000002,0.961,False,False,0.0036471560488577914,262.3169098352427,2,2.11408853134465,321.5981135691669,888,27.839068067450636,214.81730476155494,0.045685213809710454,1.386290117647504,0.020544903653146502,0.8170225960603987,0.29142411833977944,2.64465098645449,422.0930661170725,405.63143653850665,True
311,10018200,5880.72797874,1.074,0.942057496653,14.602,875.4169999999999,0,294.46725,46.929001,11111111111111111,13.515999999999998,13.169,13.134,83.45100000000002,0.961,False,False,0.0036471560488577914,262.3169098352427,2,2.034602274408122,240.66844242993503,888,103.48808620773134,177.06784420470447,0.098442890885623,-1.8974024078450717,0.019772449015463222,0.5793225576062672,0.36309433783847034,2.9519932432380815,390.9497400690925,375.7027002063979,True
448,10136404,5658.24844496,1.037,1.0120820240600001,15.014000000000001,1072.396,0,290.00684,47.123669,11111111111111111,13.805,13.538,13.436,102.38799999999999,0.9359999999999999,False,False,0.014064847065969333,330.5009553051513,2,2.509113624615732,78.01725694077562,1318,43.27403057102496,76.87301411650965,0.12167803401677464,-1.6416311261235883,0.022696713000798466,0.9339700772216266,0.13461623064578176,1.7974397167912926,515.1407810406141,482.17177105401476,True
602,10255699,5642.35203551,0.989,1.23173052127,14.540999999999999,1012.073,0,282.85016,47.39431,11111111111111111,13.279000000000002,12.947000000000001,12.897,91.088,0.9440000000000001,False,False,0.0016797746886810794,253.681037787881,1,1.4433006696775954,254.1476881508033,1792,162.98496459553647,136.62916712239743,0.1152131859917895,1.20026201919325,0.010727523108930053,0.2511073531480713,0.5796911987051204,3.729958279783152,115.07975205262832,108.63528593768115,True
869,10397036,5893.71058155,1.02,1.05230285875,13.965,771.681,0,288.47141,47.55397,11111111111111111,12.89,12.625,12.592,62.812,0.955,False,False,0.009041825581453056,185.82919211688866,2,0.8282989358422418,54.23157901248199,2736,48.5577965782647,57.69839393219538,0.03532504627263946,-0.6550057095905428,0.007206173293725952,0.5098215074471126,0.2599056753017692,2.4975460370616718,51.92893353920914,49.59213152994473,True
981,10453001,5321.72947022,0.972,0.8521469560870001,14.584000000000001,659.123,0,283.58261,47.636711,11111111111111111,13.331,12.955,12.847999999999999,141.965,0.9,False,False,0.0006581248832066011,259.7742659975417,1,0.6765105528624845,742.70045307921,3110,360.45841795834707,401.3466431844374,0.014968434473626602,-1.088711512516999,0.007268058715947257,0.26057392904734283,0.5731240516678606,3.7087703137331993,52.82467749845689,47.54220974861121,True
1058,10545063,5509.67391314,0.949,0.985905943685,15.675,1289.833,0,295.68256,47.712872,11111101110111011,14.509,14.075,13.919,171.878,0.9440000000000001,False,False,0.004384567034873554,490.9579652428311,1,1.96246322801045,120.64932988223649,3400,49.08489905702305,102.45648360402602,0.04356988222988472,0.5011277102870393,0.01822318951165181,0.4577775924311596,0.3409223695665088,2.860443474287896,332.0846359775765,313.48789636283226,True
1121,10419481,5958.0730201999995,1.06,1.2647845116,14.878,1350.5120000000002,0,297.16582999999997,47.57053,11111101110111011,13.787,13.493,13.392000000000001,105.53,0.9520000000000001,False,False,0.0107468583840864,303.321074190665,2,2.451252590078308,134.03521534256592,3617,32.88915797743557,88.8861874186597,0.0554123752101723,3.015230802441896,0.01774311533415121,0.9589850172839764,0.16359432973135252,1.981480232945174,314.8181417609918,299.70687095646423,True
1365,10670655,5718.98166112,1.133,1.20976967231,15.564,1668.644,0,293.88773,47.988811,11111111111111111,14.425,14.032,13.97,166.477,0.9279999999999999,False,False,0.0024884869198440462,460.06610287723566,1,2.091233802267313,642.9799564275199,4379,142.7276945419493,270.2558797307429,0.006679238473287825,0.9024557298896445,0.01582552935320347,0.6760237511226755,0.5742063414553848,3.7122704905393458,250.4473793091047,232.41516799884914,True
1465,10579444,5449.19250832,0.775,1.0908247272799998,15.272,1181.8319999999999,0,281.5867,47.803131,11111111111111111,14.030999999999999,13.624,13.519,165.31599999999997,0.946,False,False,0.016259256659511334,382.9244203873524,1,1.4866272416441766,50.35044462399578,4711,28.341674321704826,48.337485085397624,0.04740894942293486,2.5519824324239186,0.012476864574925351,0.8048831578958971,0.20368829260709348,2.2109995528200006,155.67214962102716,147.26585354149168,True
