,kepid,teff,mass,radius,kepmag,dist,nkoi,ra,dec,st_quarters,jmag,hmag,kmag,rrmscdpp06p0,Crowdingseason0,isMdwarf,isGiant,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,ars,ecc,omega,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,has_transits
91,10097942,5945.47629434,1.004,1.20528031907,13.860999999999999,679.377,0,299.3945,47.095959,11111101110111011,12.529000000000002,12.110999999999999,12.057,95.235,0.889,False,False,0.016419396183117163,177.3821022440034,1,0.8112217939185837,50.382883822086406,139,13.79238582896489,47.71058829681739,0.02606447476803773,-1.2103369999506217,0.0061618325677591235,0.7637406817837402,0.22021682820053853,2.2989571280937198,37.968180593096996,33.75371254726323,True
419,10071237,5996.01347429,1.052,1.20715356537,13.397,670.493,0,290.2691700000001,47.056801,11111111111111111,12.325,12.023,11.972000000000001,49.455,0.978,False,False,0.0038107648468307387,140.0365447581972,2,0.6210960803665956,83.47802292449818,612,35.960592389368266,67.74757370527854,0.1242496994613977,-3.0174505860133425,0.004710365589661617,0.25021249254203975,0.38166659263440106,3.026548896552908,22.187543988268228,21.699418020526327,True
420,10071237,5996.01347429,1.052,1.20715356537,13.397,670.493,0,290.2691700000001,47.056801,11111111111111111,12.325,12.023,11.972000000000001,49.455,0.978,False,False,0.0038107648468307387,140.0365447581972,2,2.3199964546462155,61.978166091407125,612,32.997395169849376,55.548387604965136,0.021549122152834714,-3.117790717377236,0.01759475194506512,0.21147498155660696,0.3535345298805597,2.9128729318549813,309.5752960083728,302.7646394961886,True
561,10023684,5630.98845401,0.841,1.10078926786,14.369000000000002,812.6030000000001,0,296.43829,46.978561,11111101110111011,13.095999999999998,12.732999999999999,12.673,93.45299999999999,0.904,False,False,0.009346511638021915,229.21234990029723,2,2.03906616445651,148.50361291469113,831,134.9028510834039,101.23299273372324,0.0011727342357218333,-0.5477340669722337,0.016958423633517405,0.9455962083164137,0.17475518483342564,2.0479561606641425,287.58813213384167,259.97967144899286,True
765,10141438,5299.38662842,0.823,0.80716114612,15.48,884.58,0,291.9663700000001,47.174919,11111111111111111,14.11,13.684000000000001,13.64,169.52200000000005,0.9229999999999999,False,False,0.003138840260872744,433.5508663095543,1,1.8927366074805436,123.54087766377063,1138,15.166686090011174,121.24106316348781,0.034586965031768224,3.074822218258065,0.021467836657871334,0.38097928556534616,0.30740899395706844,2.7162135142454544,460.86801076904425,425.3811739398278,True
807,10258084,5726.76288377,1.077,1.00305684503,15.417,1286.765,0,284.18674,47.33651,11111111111111111,14.26,13.923,13.837,141.703,0.919,False,False,0.0011618836897036022,417.9524176479211,2,2.2265615579981293,96.43412910636428,1194,70.14525507989148,90.46969260766757,0.0042036342173974554,0.6537636742775299,0.020322049706827147,0.1053821361918104,0.3443464457921807,2.8747721125355894,412.9857042867534,379.5338622395264,True
808,10258084,5726.76288377,1.077,1.00305684503,15.417,1286.765,0,284.18674,47.33651,11111111111111111,14.26,13.923,13.837,141.703,0.919,False,False,0.0011618836897036022,417.9524176479211,2,0.8297316604078339,688.630434248727,1194,144.20323346723347,335.48523759048527,0.0637143936373507,1.9916649746268895,0.007573043729945861,0.41088069672996125,0.6010998022006354,3.7982094798490578,57.35099133567232,52.705561037482866,True
1461,10281874,4982.19404077,0.8540000000000001,0.7945662461540001,15.585,822.302,0,294.8609600000001,47.393559,11111111111111111,14.142999999999999,13.685,13.548,172.295,0.895,False,False,0.003209044401072614,467.1415764737523,2,2.4445516405811287,187.42312751825634,2114,113.49176075435557,164.6294585448734,0.08047753433998578,1.9012412696792431,0.028166147728835998,0.5650979309882919,0.3112693322158327,2.733214951879926,793.3318778826133,710.032030704939,True
1508,10268680,5647.69600874,0.989,1.14903654773,13.82,664.725,0,289.62695,47.34314000000001,11111111111111111,12.535,12.22,12.127,59.174,0.977,False,False,0.0030604505103187796,174.0137109191126,1,2.0210471110297945,805.8800834885427,2164,590.6505529628672,316.11719583522466,0.034012173790316895,3.0531770472348567,0.016102783099485464,0.9692474138179159,0.24749861597422332,2.437204706909405,259.2996235490747,253.33573220744597,True
1662,10288812,5051.57211813,0.6779999999999999,0.804824484596,15.445,754.113,0,297.13235,47.36658900000001,11101110111011,13.901,13.455,13.33,207.89700000000002,0.79,False,False,0.010546343200940056,424.8850614975359,4,1.5964595488369593,77.56780592724213,2427,43.76698085512518,83.57941114919858,0.0303331343181577,-1.9709391574439996,0.018159968352527187,0.8560208762596494,0.1628580558593742,1.9770162722205857,329.784450564789,260.52971594618333,True
1743,10279686,5902.98122856,1.006,0.95086568921,13.632,557.086,0,294.08725,47.341862,11111111111111111,12.49,12.18,12.124,48.36,0.981,False,False,0.0034962743031449195,155.71621849970137,1,1.8468402179456154,75.84693708232025,2542,65.69979145527596,79.48925614060353,0.08418005213412474,2.9167141771730325,0.01778150414633164,0.28116365375973834,0.29710494830330986,2.6703031212353845,316.1818897060094,310.17443380159517,True
1906,10289972,5898.36602472,1.111,1.22034276718,15.985999999999999,2151.203,0,297.46069,47.378319,11101110111011,14.856,14.49,14.407,227.65599999999998,0.922,False,False,0.0016660297782109534,598.2581818591152,1,1.2730058536067936,321.3510910265288,2755,20.974007296436454,167.62763782294803,0.039110845514241294,-0.7171272604847623,0.009550077980714727,0.27166687651534166,0.5933247559625795,3.7735651767396186,91.20398943773228,84.09007826158916,True
2205,10518365,5225.71086793,0.82,0.8442600375560001,13.899000000000001,436.852,0,283.71695,47.724689,11111111111111111,12.526,12.130999999999998,11.995999999999999,60.51600000000001,0.976,False,False,0.0007176512894637721,180.50402591097557,1,2.099182259958477,144.70105794949447,3206,77.6315581123685,128.64091092394872,0.035453349850107896,-2.8183402882081907,0.022763144925765973,0.09116359105732492,0.36474582353174784,2.9586989986752537,518.1607669114252,505.72490850555096,True
2225,10453578,5594.44952723,1.08,0.985788088315,14.72,900.613,0,283.8797600000001,47.676411,11111111111111111,13.524000000000001,13.231,13.130999999999998,111.49600000000001,0.953,False,False,0.008946829227632569,278.4800393672795,1,2.426977977517045,121.53346931420133,3242,48.98218337806814,107.50397774213351,0.015925395163254107,-0.8340830692707564,0.022539310068300056,0.9502305215826696,0.13591691747577983,1.8061024387942994,508.0204983549723,484.14353493228856,True
2431,10527318,5351.17733226,0.8390000000000001,1.1583648342200001,15.76,1532.2120000000002,0,288.52524,47.709548999999996,11111111111111111,14.452,14.038,13.937999999999999,177.99200000000005,0.932,False,False,0.007800888669556083,520.1320004518175,1,0.8609887270615215,81.3349203315858,3535,42.07930584043927,64.34718764512196,0.031190282006094677,-0.6827201272699299,0.0068047229710283055,0.49159918114421863,0.353532240139031,2.912863498919361,46.30425471244029,43.15556539199435,True
2470,10481438,5578.22170532,1.011,0.862427412078,15.681,1203.866,0,295.9838,47.627047999999995,11111101110111011,14.514000000000001,14.195,14.094000000000001,179.081,0.922,False,False,0.008799673870869329,492.4589635674133,2,1.2187619125280527,54.23260297123897,3578,28.899668630285934,70.19470996485371,0.0674616466098996,1.170541799369012,0.01293762831855023,0.653256268612135,0.19039412725467417,2.137629306992253,167.38222650895284,154.32641284125452,True
