,kepid,teff,mass,radius,kepmag,dist,nkoi,ra,dec,st_quarters,jmag,hmag,kmag,rrmscdpp06p0,Crowdingseason0,isMdwarf,isGiant,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,ars,ecc,omega,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,has_transits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,isObserved,Ntransits,Ntransits_primary,SNR,SNR_primary,needed_for_detection,detected,needed_for_detection_primary,detected_primary,insol,inOptimisticHZ,inZetaEarth
0,10079113,5564.42163782,0.997,0.8557991507520001,15.630999999999998,1151.781,0,293.42663999999996,47.06797,1111111111111111,14.372,14.024000000000001,14.020999999999999,152.183,0.9279999999999999,False,False,0.005826886524687991,479.9506441958909,1,1.6874650228061574,67.18936521904816,247,61.0963940841812,81.22002983808628,0.017767157933969664,2.1612590294102576,0.018051831753064247,0.4800952880630792,0.2364038616907365,2.3819514437909257,325.8686296409386,302.406088306791,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,50,22,10.612357162362448,7.0394413697593965,717.381360072216,True,475.85696059087707,False,6.062201352574335,False,False
1,10035775,4511.2989141,0.586,0.6575281700060001,15.587,487.337,0,300.02367999999996,46.92100900000001,11111101110111011,13.754000000000001,13.123,13.005999999999998,237.77700000000002,0.904,False,False,0.0018004474914681268,467.8154311019916,1,2.3115224769792615,98.34892095448946,294,94.28652093319324,114.15654747623368,0.18462251487071205,0.4098456361617555,0.03218415459911327,0.21364743992919624,0.27693256071059275,2.5780576907924746,1035.819807259624,936.3811057627001,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,35,14,30.528449851930976,19.307886993266397,2011.5042152614958,True,1272.186968651191,True,1.325809993284264,True,False
2,10027030,5247.87524475,0.916,0.800590558256,15.548,859.7660000000001,0,297.42245,46.984959,11111101110111011,14.14,13.639000000000001,13.607999999999999,157.656,0.9440000000000001,False,False,0.0103239095673483,454.67526585131844,1,1.9816632548484148,64.95811260794557,720,57.30828090881274,82.52392521985809,0.0003750247505077649,0.887549668398707,0.02266093062308641,0.8522172097073625,0.14164694644516818,1.8437805494917328,513.5177767043355,484.7607812088927,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,52,23,14.175456325808609,9.427559769747978,907.7787850001104,True,603.7293302308954,True,4.6456959057988545,False,False
3,10010246,5426.00128416,0.928,0.909659706091,15.81,1178.255,0,291.19458,46.976639,11111111111111111,14.44,14.011,13.927999999999999,275.725,0.919,False,False,0.007108254083425081,539.3355101372896,2,1.908544633977674,147.84958453139413,826,113.54956452943128,126.21763092642809,0.05138762132608822,0.9844224626185962,0.019207980750460634,0.9332205032536091,0.15278021550823778,1.9148694922102933,368.9465245100663,339.06185602475097,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,23,9,5.773285272661496,3.6114395874400524,438.554613760421,False,274.33487496084274,False,2.269635123640342,False,False
4,10081837,5654.24588377,1.0490000000000002,1.15715819469,15.982000000000001,1901.905,0,294.44305,47.043221,11111111111111,14.727,14.368,14.309000000000001,206.09,0.893,False,False,0.014836366193906714,597.1600266176313,1,0.6499970207334295,71.85337183331517,855,60.38242470879165,63.890082238970905,0.00016195706373178947,2.1334082357554847,0.005142531723079342,0.948026487340052,0.11958111252803098,1.6940917037376528,26.445632522877382,23.615949842929503,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,47,20,0.45930432364315166,0.29961710438725175,38.630729877794025,False,25.199909581829417,False,10.444998727375513,False,False
5,10141480,5848.23056619,1.143,0.8679592357279999,15.835,1393.557,0,291.98245,47.138378,1111111111111111,14.695,14.312999999999999,14.460999999999999,210.873,0.894,False,False,0.0017487945410968875,549.144491812265,1,2.167638604126982,192.10708289151492,1202,22.9246338343352,168.84229656592117,0.05192175667843065,0.7050868488939712,0.0228636675593846,0.3044104723208565,0.35366729112764583,2.913419809616098,522.7472942660557,467.33608107385385,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,17,8,10.222808141402139,7.012788529735149,790.6758847471215,True,542.3991821617309,False,1.7116381880553189,True,False
6,10139850,5894.20255875,0.968,1.02202750874,15.597000000000001,1436.88,0,291.35733,47.196819,1111111111111111,14.482000000000001,14.068,14.023,181.267,0.934,False,False,0.005987442727491077,471.18470424319037,3,1.9934724586163959,203.74717111776502,1802,53.160506409533355,141.08900689573412,0.06147623492641711,1.4859455454093666,0.017856897395191248,0.8933156862873379,0.2242661276933418,2.3199972122052657,318.86878458238795,297.8234447999504,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,16,8,5.865636600195214,4.147631415974042,389.26735868465,False,275.25358902049214,False,2.5292420697790963,False,False
7,10139850,5894.20255875,0.968,1.02202750874,15.597000000000001,1436.88,0,291.35733,47.196819,1111111111111111,14.482000000000001,14.068,14.023,181.267,0.934,False,False,0.005987442727491077,471.18470424319037,3,1.4388946348752738,80.51893620149991,1802,3.5685619226866976,75.97968180655715,0.07394502154108687,1.3703487653826594,0.012889164205103911,0.4854023521629593,0.2998971534480773,2.6828215898105965,166.13055390613192,155.16593734832722,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,42,19,5.7256084263005125,3.8510024828890654,379.97452295193324,False,255.56809379434875,False,8.721311713866262,False,False
8,10139850,5894.20255875,0.968,1.02202750874,15.597000000000001,1436.88,0,291.35733,47.196819,1111111111111111,14.482000000000001,14.068,14.023,181.267,0.934,False,False,0.005987442727491077,471.18470424319037,3,1.3679436516592918,114.2416528073287,1802,97.38367329423284,95.93603603218713,0.09219260579556192,-0.9805018950465869,0.01225360768065858,0.5255342948414397,0.32793971595765764,2.8054506203075085,150.15090119149494,140.24094171285628,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,30,12,4.573481133492616,2.892523443529051,303.5146979220464,False,191.95954975432826,False,5.470326020240616,False,False
9,10192152,5409.29354607,0.928,1.0129245643200002,15.237,1077.345,0,284.4671600000001,47.27771,11111111111111111,13.985,13.584000000000001,13.485,130.738,0.905,False,False,0.0019763127501892797,374.34734834126635,2,0.7517142473182148,125.26378312065673,1830,74.49262001024974,101.49052265884914,0.03061580374562948,0.6914469651676245,0.006794132728746948,0.2043047208688658,0.3873176535481122,3.0488725268785335,46.16023953583045,41.77501677992656,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,26,12,1.7348734978535838,1.17861445125943,91.47116811676433,False,62.14242176699498,False,3.4672706644285496,False,False
