,kepid,teff,mass,radius,kepmag,dist,nkoi,ra,dec,st_quarters,jmag,hmag,kmag,rrmscdpp06p0,Crowdingseason0,isMdwarf,isGiant,cosi,noise_level,Nplanets,planetRadius,planetPeriod,starID,T0,ars,ecc,omega,rprs,impact,duration,duration_correction,transit_depth,transit_depth_diluted,has_transits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,isObserved,Ntransits,Ntransits_primary,SNR,SNR_primary,needed_for_detection,detected,needed_for_detection_primary,detected_primary,insol,inOptimisticHZ,inZetaEarth
0,10121833,5648.83186646,1.158,0.866122954693,13.472000000000001,364.017,0,282.9429,47.184975,11111111111111111,11.877,11.522,11.463,50.122,0.9620000000000001,False,False,0.012172069929746065,145.34684256137234,2,0.5735537033383211,56.351329561857746,20,22.36695557596456,75.02321426780206,0.02877742069578408,-2.7160904938013006,0.0060625158652255345,0.9015840860204785,0.10674699204250365,1.6006023269444811,36.754098616111314,35.35744286869909,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,59,27,2.9907815733847913,2.0232081812328566,61.22544485664968,False,41.41787619528626,False,7.546051823054401,False,False
1,10018820,5355.30366536,0.948,0.7765038178579999,15.869000000000002,1037.187,0,294.70044,46.976749,11111111111111,14.515,14.136,14.115,421.82599999999996,0.47100000000000003,False,False,0.003144416946936235,562.4847068902317,2,0.7206244774064284,114.14517292979447,99,106.67276084795417,125.32387124450524,0.006980220312106805,0.6070779926115302,0.008496181137724051,0.3956204953378289,0.2689476685450326,2.5406188311277202,72.18509392501795,33.99917923868346,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,30,12,0.8411197953795335,0.5319708676908194,66.63620022022938,False,42.14443346298771,False,2.184466192850118,False,False
2,10057651,5419.43432278,0.946,0.763334181365,15.290999999999999,835.665,0,283.53867,47.062931,11111111111111111,14.02,13.642999999999999,13.635,144.453,0.927,False,False,5.2765089917694574e-05,387.58054521237017,2,0.6983401914802472,160.79901788905735,168,148.54053411869006,160.09367755420757,0.05648757832023499,-2.7686986697676645,0.008375498712201132,0.00824656401239362,0.32238139596349613,2.781573925518412,70.14897867808283,65.02810323458279,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,21,8,2.138648301636661,1.3200023893331008,116.74626405152767,False,72.05735855483867,False,1.4039252710671781,True,False
3,10057651,5419.43432278,0.946,0.763334181365,15.290999999999999,835.665,0,283.53867,47.062931,11111111111111111,14.02,13.642999999999999,13.635,144.453,0.927,False,False,5.2765089917694574e-05,387.58054521237017,2,0.6399134459724507,613.1161396545829,168,322.8199157377254,390.7332942303682,0.03447566522014071,-3.002834740436864,0.00767476125253783,0.0204942613357855,0.5032032998319949,3.475180455166016,58.901960283456035,54.60211718276375,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,3,1.199224519638582,0.8479797900016213,65.46423847233301,False,46.29020694899994,False,0.23568476817495826,False,False
4,10083199,5332.03482008,0.958,0.9225726133700001,15.859000000000002,1209.5410000000002,0,294.92938,47.041969,11111111111111,14.485,14.095999999999998,13.953,224.645,0.89,False,False,0.003383999614180677,558.5611142202416,4,0.6631770122003711,350.9389224096186,312,98.29157594609482,223.80951932744057,0.23265316046730722,-0.670457822902796,0.006580929737895279,0.606892763821971,0.4008188327040838,3.101556381060646,43.308636215114426,38.54468623145184,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,10,4,0.6768204887332725,0.42805886229309437,53.245860044217636,False,33.67563874285631,False,0.6731181823402621,True,False
5,10083199,5332.03482008,0.958,0.9225726133700001,15.859000000000002,1209.5410000000002,0,294.92938,47.041969,11111111111111,14.485,14.095999999999998,13.953,224.645,0.89,False,False,0.003383999614180677,558.5611142202416,4,0.6616097941607723,345.8226811989711,312,43.855287818469634,221.6289614856092,0.03038731175628467,-0.5913353969278234,0.006565377703351227,0.7365949011010932,0.34072740590880174,2.859625454812438,43.10418438766143,38.36272410501867,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,5,0.5892086984240116,0.4391702342034211,46.353389732390745,False,34.54977680972216,False,0.6864286600600279,True,False
6,10083199,5332.03482008,0.958,0.9225726133700001,15.859000000000002,1209.5410000000002,0,294.92938,47.041969,11111111111111,14.485,14.095999999999998,13.953,224.645,0.89,False,False,0.003383999614180677,558.5611142202416,4,0.6435966777421606,296.96748005887804,312,158.7659713818305,200.23045067510705,0.0836480451643466,1.4276932254281451,0.006386627458197079,0.728937615569607,0.3275775725677336,2.803901164739158,40.78901028979688,36.30221915791922,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,12,4,0.6312709445598977,0.36446444977324627,49.66245100961139,False,28.672629459015738,False,0.8409848673788435,True,False
7,10083199,5332.03482008,0.958,0.9225726133700001,15.859000000000002,1209.5410000000002,0,294.92938,47.041969,11111111111111,14.485,14.095999999999998,13.953,224.645,0.89,False,False,0.003383999614180677,558.5611142202416,4,0.6233700082341832,412.42120570980387,312,371.17221869381154,249.24025528518573,0.04851285211071047,-2.196795102694698,0.006185911377249131,0.8082855543778654,0.3156270329895955,2.752280652795113,38.26549956718024,34.05629461479042,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,3,0.4746400784836957,0.29065650093990375,37.340210012878316,False,22.866115354978785,False,0.5427652768726743,True,False
8,10093511,5868.09579251,1.038,1.33455121924,15.757,1870.1770000000001,0,298.15439,47.069859,11111101110111011,14.421,14.100999999999999,13.997,224.145,0.907,False,False,0.011821369033557683,518.9860066756563,2,0.505434641796797,164.25871554119163,319,17.851873113465853,95.79710925725973,0.16505651708735364,-1.1128788942983605,0.003467273551542521,0.933939363033686,0.2003307126822565,2.192700869789164,12.02198588122629,10.903941194272244,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,20,9,0.2060260988540913,0.1382065086530519,15.059811593697022,False,10.102428735553795,False,5.38964914412959,False,False
9,10007451,4905.71604476,0.91,0.819895521451,15.849,915.064,0,290.06796,46.984669,1111111111111111,14.314,13.854000000000001,13.675,190.342,0.909,False,False,0.0055268410555394665,554.6375215502509,3,0.5669961933638277,80.89651750912785,646,58.9149398717985,93.07036529499439,0.030054557750950405,-0.14558085466062964,0.006331111726356791,0.5116778011828078,0.23975576782176172,2.3987785282768983,40.08297569161247,36.43542490367574,True,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,42,18,1.0212436990735954,0.668560936285922,79.77747523281538,False,52.22661700097732,False,2.789095035812195,False,False
